Champion,Games played,Win Rate,Pick Rate,Ban Rate
Kayn,"1,067",49.3%,13.71%,8.91%
Lee Sin,"1,053",47.2%,13.53%,10.59%
Kha'Zix,845,49.23%,10.86%,11.07%
Master Yi,841,47.68%,10.81%,16.35%
Viego,826,50.36%,10.62%,6.12%
Nocturne,768,52.34%,9.87%,19.53%
Graves,634,50.16%,8.15%,3.84%
Briar,589,52.97%,7.57%,40.65%
Shaco,554,51.99%,7.12%,21.46%
Jarvan IV,438,55.02%,5.63%,4.4%
Hecarim,420,49.29%,5.4%,6.64%
Nunu & Willump,340,45.88%,4.37%,0.91%
Udyr,332,48.49%,4.27%,2.81%
Warwick,310,52.9%,3.98%,1.34%
Rengar,309,48.87%,3.97%,4.05%
Vi,306,52.94%,3.93%,0.89%
Ekko,299,52.84%,3.84%,1.3%
Brand,289,54.67%,3.71%,6.75%
Diana,284,49.3%,3.65%,1.13%
Evelynn,282,45.74%,3.62%,3.89%
Lillia,268,50%,3.44%,1.48%
Kindred,254,44.88%,3.26%,1.52%
Rammus,243,55.97%,3.12%,8.8%
Bel'Veth,218,50.46%,2.8%,3.89%
Fiddlesticks,204,50%,2.62%,1.61%
Sejuani,198,55.56%,2.54%,0.68%
Jax,187,51.34%,2.4%,17.53%
Maokai,162,48.77%,2.08%,0.84%
Zac,161,49.69%,2.07%,1.21%
Sylas,160,50.63%,2.06%,9.61%
Xin Zhao,151,50.33%,1.94%,0.24%
Poppy,151,45.7%,1.94%,1.67%
Nidalee,151,42.38%,1.94%,0.17%
Amumu,140,47.14%,1.8%,0.67%
Wukong,136,52.21%,1.75%,0.44%
Trundle,129,50.39%,1.66%,26.71%
Gragas,117,45.3%,1.5%,0.9%
Elise,116,53.45%,1.49%,0.63%
Shyvana,114,45.61%,1.47%,0.37%
Karthus,111,58.56%,1.43%,0.4%
Ivern,89,51.69%,1.14%,0.59%
Taliyah,88,55.68%,1.13%,0.57%
Talon,84,47.62%,1.08%,1.38%
Mordekaiser,69,40.58%,0.89%,7.29%
Volibear,68,54.41%,0.87%,1.91%
Rek'Sai,65,52.31%,0.84%,0.23%
Zed,65,46.15%,0.84%,34.55%
Gwen,63,66.67%,0.81%,3.19%
Pantheon,57,64.91%,0.73%,6.19%
Nasus,56,57.14%,0.72%,5.95%
Skarner,52,51.92%,0.67%,0.1%
Naafiri,50,38%,0.64%,3.57%
Tryndamere,47,34.04%,0.6%,2.12%
Teemo,42,45.24%,0.54%,5.86%
Garen,37,37.84%,0.48%,2.2%
Rell,34,44.12%,0.44%,2.36%
Rumble,28,50%,0.36%,0.73%
Malphite,28,39.29%,0.36%,5.24%
Twitch,25,44%,0.32%,4.36%
Cho'Gath,25,44%,0.32%,1.48%
Olaf,24,41.67%,0.31%,2.58%
Morgana,24,41.67%,0.31%,29.98%
Darius,22,50%,0.28%,13.38%
Aatrox,17,35.29%,0.22%,19.84%
Yorick,16,50%,0.21%,6.7%
Yone,15,60%,0.19%,29.08%
Riven,15,53.33%,0.19%,2.71%
Sion,14,50%,0.18%,3.53%
Qiyana,14,42.86%,0.18%,0.51%
Tahm Kench,12,75%,0.15%,3.02%
Sett,12,75%,0.15%,1.79%
Dr. Mundo,12,58.33%,0.15%,1.79%
Neeko,12,58.33%,0.2%,4.07%
Quinn,10,50%,0.13%,1.21%
Zyra,9,22.22%,0.15%,4.53%
Nautilus,7,57.14%,0.09%,13.48%
Yasuo,7,42.86%,0.11%,20.31%
Fizz,7,28.57%,0.09%,7.15%
Urgot,6,100%,0.1%,0.66%
Shen,6,50%,0.08%,0.31%
Vayne,6,33.33%,0.08%,10.54%
Kai'Sa,5,40%,0.08%,3.43%
Singed,4,50%,0.05%,0.63%
Camille,4,50%,0.05%,2.22%
Kayle,3,66.67%,0.04%,1.58%
Taric,3,33.33%,0.05%,0.34%
Katarina,3,33.33%,0.04%,9.11%
Leona,3,33.33%,0.04%,3.17%
Fiora,3,33.33%,0.04%,6.17%
Gnar,2,100%,0.03%,0.31%
Nilah,2,100%,0.03%,3.45%
Irelia,2,50%,0.03%,10.82%
Blitzcrank,2,50%,0.03%,20.86%
Tristana,2,0%,0.03%,1.71%
Akali,2,0%,0.03%,15.65%
Hwei,2,0%,0.03%,31.53%
Galio,1,100%,0.02%,0.43%
Vladimir,1,100%,0.02%,3.45%
Renekton,1,100%,0.02%,3.17%
Aurelion Sol,1,100%,0.02%,0.92%
Zoe,1,100%,0.02%,1.95%
Senna,1,100%,0.02%,8.85%
Lucian,1,100%,0.02%,1.99%
Kled,1,100%,0.06%,0.41%
Kalista,1,100%,0.06%,0.59%
LeBlanc,1,0%,0.02%,9.9%
Sivir,1,0%,0.02%,0.57%
Corki,1,0%,0.02%,0.21%
Swain,1,0%,0.02%,2.79%
Kennen,1,0%,0.02%,0.41%
Lux,1,0%,0.02%,26.63%
Lissandra,1,0%,0.02%,1.71%
Jhin,1,0%,0.02%,5.98%
Yuumi,1,0%,0.02%,3.69%
Ornn,1,0%,0.02%,1%
Pyke,1,0%,0.02%,13.37%
Ahri,1,0%,0.06%,3.73%
Jinx,1,0%,0.06%,1.01%
Vex,1,0%,0.06%,3.37%
K'Sante,1,0%,0.06%,7.92%
