Hero,Win Percentage,Popularity,Ban Ratio
Masha,55.87%,0.12%,0.15%
Floryn,55.3%,0.47%,4.67%
Minotaur,55.3%,0.85%,3.04%
Diggie,54.96%,0.44%,26.29%
Lolita,54.53%,0.2%,0.6%
Argus,54.26%,0.2%,0.14%
Wanwan,53.96%,1.01%,41.03%
Ruby,53.83%,0.73%,1.34%
X.Borg,53.69%,0.92%,1.87%
Rafaela,53.53%,0.5%,0.57%
Benedetta,53.36%,0.38%,0.27%
Zhask,53.19%,0.63%,0.75%
Khaleed,53.12%,0.19%,0.07%
Belerick,53.05%,0.65%,0.94%
Mathilda,53.01%,0.43%,12.48%
Barats,52.64%,0.67%,26.86%
Ixia,52.57%,0.58%,1.28%
Lunox,52.48%,0.81%,59.19%
Gatotkaca,52.48%,1.33%,0.96%
Hanabi,52.36%,4.06%,7.44%
Hylos,52.34%,0.23%,0.11%
Alice,52.31%,0.61%,60.96%
Harley,52.3%,1.05%,15.47%
Nolan,52.27%,0.71%,56.49%
Melissa,52.23%,0.65%,0.92%
Yi Sun-shin,52.14%,0.14%,0.05%
Luo Yi,52.01%,0.53%,0.41%
Carmilla,51.91%,0.11%,0.12%
Popol and Kupa,51.8%,0.4%,0.29%
Roger,51.8%,0.61%,0.27%
Hanzo,51.72%,0.26%,2.39%
Gord,51.71%,0.78%,0.32%
Aulus,51.67%,0.18%,0.18%
Guinevere,51.65%,1.7%,19.28%
Vale,51.62%,0.95%,1.33%
Terizla,51.45%,0.81%,0.78%
Angela,51.45%,1.99%,26.65%
Phoveus,51.38%,0.12%,0.42%
Gloo,51.37%,0.08%,0.21%
Kimmy,51.33%,0.27%,0.27%
Yin,51.15%,1.35%,15.73%
Odette,51.1%,1.02%,0.63%
Nana,50.99%,3.33%,46.15%
Alpha,50.97%,2.08%,2.77%
Natalia,50.96%,0.23%,0.6%
Tigreal,50.94%,3.1%,13.94%
Edith,50.91%,0.46%,0.26%
Yu Zhong,50.9%,1.18%,0.69%
Lylia,50.9%,0.82%,0.49%
Karrie,50.88%,1.83%,12.95%
Helcurt,50.87%,0.24%,0.61%
Vexana,50.78%,2.69%,6.57%
Estes,50.74%,0.8%,41.39%
Aldous,50.63%,1.05%,2.16%
Chang'e,50.62%,1.5%,1.93%
Valir,50.61%,1.52%,14.89%
Bane,50.57%,0.32%,0.15%
Arlott,50.45%,0.54%,3.28%
Cyclops,50.43%,0.73%,0.21%
Xavier,50.34%,0.53%,0.13%
Aamon,50.26%,0.44%,0.62%
Joy,50.18%,0.26%,5.8%
Baxia,50.15%,0.14%,0.1%
Natan,50.12%,0.35%,0.3%
Thamuz,50.12%,1.09%,1.51%
Brody,50.06%,1.08%,1.13%
Faramis,50.03%,0.31%,2.79%
Atlas,50.02%,0.69%,2.91%
Cici,49.89%,1.4%,54.69%
Harith,49.86%,0.19%,0.11%
Freya,49.86%,0.53%,0.71%
Novaria,49.79%,0.79%,3.38%
Irithel,49.73%,0.55%,0.12%
Moskov,49.7%,1.18%,0.97%
Leomord,49.59%,0.17%,0.08%
Clint,49.5%,0.69%,0.14%
Selena,49.47%,0.65%,0.7%
Granger,49.46%,0.54%,0.14%
Julian,49.43%,0.38%,0.29%
Badang,49.3%,0.55%,0.19%
Bruno,49.11%,0.93%,0.42%
Kagura,49.06%,0.39%,0.17%
Khufra,49.05%,0.63%,1%
Uranus,48.96%,0.36%,0.26%
Minsitthar,48.91%,0.32%,0.8%
Alucard,48.89%,0.45%,0.22%
Hilda,48.87%,0.46%,0.33%
Kaja,48.66%,0.1%,0.16%
Sun,48.64%,0.83%,1.29%
Kadita,48.57%,0.48%,0.37%
Martis,48.52%,1.58%,13.53%
Layla,48.43%,2.38%,1.93%
Ling,48.35%,0.29%,0.23%
Cecilion,48.25%,0.84%,0.24%
Karina,48.24%,1.07%,6.05%
Johnson,48.1%,0.94%,3.32%
Gusion,48.09%,0.97%,0.77%
Saber,48.05%,0.91%,5.47%
Claude,48.04%,1.37%,0.73%
Dyrroth,47.97%,2.82%,3.51%
Lapu-Lapu,47.96%,0.47%,0.1%
Hayabusa,47.88%,0.44%,0.41%
Silvanna,47.8%,0.3%,0.07%
Lancelot,47.51%,1.55%,2.07%
Yve,47.48%,0.05%,0.06%
Miya,47.28%,1.58%,0.79%
Balmond,47.17%,2.16%,37.23%
Fanny,47.05%,0.54%,6.53%
Jawhead,46.95%,0.41%,0.2%
Fredrinn,46.73%,0.33%,0.35%
Akai,46.69%,0.36%,0.24%
Zilong,46.66%,1.5%,0.62%
Grock,46.58%,0.09%,0.04%
Eudora,46.54%,0.81%,0.73%
Franco,46.25%,2.24%,4.62%
Aurora,46.11%,0.14%,0.09%
Lesley,45.77%,1.16%,0.46%
Pharsa,45.68%,0.36%,0.13%
Paquito,45.24%,0.28%,0.11%
Beatrix,45.15%,0.6%,0.14%
Esmeralda,44.9%,0.42%,0.22%
Chou,44.78%,1.12%,0.7%
Valentina,42.4%,0.29%,0.59%
